"lingua","proverbio","interpretacao"
"Kikongo","Konso muntu nkaz'andi wa mbote","A cada pessoa o seu cônjuge é bonito. «Quem o feio ama, bonito lhe parece, pois o desejo torna bonito o que é feio, e os gostos não se discutem»."
"Kikongo","Konso muntu n'kusu ye lusende lwandi","Cada pessoa é um grande rato nkuzu que deve ser assado num espeto a sós. Cada qual é uma pessoa importante que não deve ser confundida com outras pessoas."
"Kikongo","Kons'ona lekele kabasula","Quem tiver a sua arma pronta, seja o primeiro a começar! Num encontro familial, depois das palavras de boas-vindas dos visitados aos visitantes, este provérbio é utilizado para pedir ao grupo que estiver na origem do encontro de introduzir o assunto a tratar."
"Kikongo","Konso nti ye nsungi andi, ye mbutu andi","Cada árvore tem a sua estação e sua espécie de fruta. Cada coisa tem o seu período e a sua utilidade."
"Kikongo","Konso nuni zala dyandi dya mbote","Cada ave acha o seu ninho bonito. Cada qual sua casa é bonita."
"Kikongo","Konso salu kifwene salwa, toma kyo sala, fulu kyaku kyesesa","Qualquer trabalho digno de ser feito, fá-lo bem, é o teu destino que tu preparas e iluminas neste mundo onde o passado não se repara nem se apaga. «Se algo vale a pena de ser feito, vale a pena de ser bem feito» (John Simpson)."
"Kikongo","Kosi vilu, mambu vilu","Se mudares de lugar, os assuntos também mudam. «Costas viradas, linguagem mudada» (Prov. Malaio — R.Sha)."
"Kikongo","Ko ye ko wandli, nzadi ye nzadi andi","O sogro simpatiza com o seu genro, o cunhado com o seu cunhado. O provérbio indica que os parentes por aliança estão unidos na alegria e na infelicidade."
"Kikongo","Kubakidi nyoka va kati ko","Não apanhes uma serpente no meio. Este provérbio aconselha de não se intrometer num assunto do qual se desconhece as entradas e saídas."
"Kikongo","Kubanza kavitanga ko, sukinina kaka(«vo nzaya wo»: ku nima kaka kakwizilanga)","O arrependimento não precede o erro, segue-o, ou «Se eu soubesse» chega sempre tarde. Este provérbio refere-se a alguém que reflecte tardiamente ao erro cometido."
"Kikongo","Ku dy'e ndofi ko vo: «nkoko wau kilendi wo nwina maza ko»","Ninguém diga: «desta água não beberei», «pois ninguém sabe o futuro que o guarda». «Não afirma nada por juramento, mesmo a verdade» (Meandres, Fragmentos — citado por M.Maurois — Larousse)."
"Kikongo","Ku futumukanga mwisi nzo ina ko","Onde tem havido fumo, há uma casa. Não há efeito sem causa."
"Kikongo","Ku fwidi mvipi, mbevo sidi","Morreu um homem são, ficou o doente. Há doentes habituados às suas doenças, que sobrevivem a pessoas que, indiferentes do futuro, são surpreendidas por moléstias mortais. Portanto, «a morte, sentada à porta dos velhos espia os jovens e as pessoas sãs»."
"Kikongo","Kukayi ko ye konzekena, ngeye mpe akuvangila wo","Não deves dar e recusar ao mesmo tempo, pois tarde ou cedo tu poderás ser pago na mesma moeda. O provérbio aplica-se aos que «envidam de falso» ou dão mostras de oferecer sem a verdadeira intenção de doar, pois retomam desonestamente por uma mão o que dão por uma outra. É o mesmo que dar a alguém uma coisa contra vontade ou com repugnância."
"Kikongo","Ku kisutidi fwa ko, muntu kafwanga mewa zole ko","Não tenhas pressa de morrer, pois não se morre duas vezes. «Um dia de vida vale mais do que mil anos no outro mundo»."
"Kikongo","Ku komuni kyuzu kizolele vaika ko, kadi sama vo dibenzele, vo muntu sidi nsindu yovo dyete dyo, ekyuzu kizolele vaika, kikomokene ye kakivaika dyaka ko","Não inibas o salalé pronto a sair da sua termiteira. Quando a termiteira está humectada pelos orifícios de saída do salalé, este está pronto a sair e a voar mas se um homem pisar a terra, o salalé estará impedido de sair. Este provérbio aplica-se a pessoas dirigentes de grupos ou de organizações quaisquer, que coibem ou bloqueam ardilosa ou brutalmente as potencialidades humanas susceptíveis de se desenvolver para o bem comum."
"Kikongo","Ku kuni nguba va meso ma nkewa ko","Não semeia amendoins sob o olhar dos macacos. «É bom evitar de tomar riscos desnecessários» (A. & R. Flavell), «A discrição é a melhor parte do valor»."
"Kikongo","Ku kwenda yandiko, ku mmani nkuta ko","Se não for junto com ele, não acabe o seu mantimento. Não se pode ir até ao fim da viagem com um companheiro que põe os seus interesses acima dos demais, pelo que uma ruptura com ele se torna inevitável, e quanto cedo melhor."
"Kikongo","Ku landi bulu mu wulu dyandiko","Nunca persigas um animal no seu covil, pois podes tornar-te a sua vítima. O provérbio aconselha-nos de não desafiar um inimigo no seu próprio terreno onda as condições lhe seriam mais favoráveis. Daí: «não te metas na boca do lopo»."
"Kikongo","Kulandi muntu fwidi yovo wafwa mambu ko kalendi vangulula dyaka ko, ngeye lenda vangulula","Não critiques um morto, pois ele já não pode reparar o seu passado, mas tu podes tirar ainda melhor proveito do tempo que te resta. «Perdoa a quem está sepultado» (Eneida). «Dos mortos só devemos falar bem»."
"Kikongo","Kumbu dya ndoki lumbu kimosi","A fama do bruxo dura apenas um dia. «Não há maravilha que dure mais do que três dias»."
"Kikongo","Ku meni nzevo ze mena nkombo ko, wa konda ndwenga","Não tenha uma barba inútil como a da cabra, que não é sinal de sensatez. A barba deve ser um sinal não apenas de velhice, mas também de maturidade e sabedoria. «A sabedoria está na cabeça e não na barba» (Prov. Russo - Rosa Sha)."
"Kikongo","Kuna kwavatila ko kulendi ko natina n'yendo ko","Não podes levar um cesto à seara alheia para colher o que não semeastes. Não se deve aproveitar do fruto dos esforços alheios."
"Kikongo","Kuna kwa yenda ko zulu dyabwa","Onde nunca chegaste, o céu e a terra parecem unir-se. As coisas desconhecidas assemelham-se às miragens. «Tudo o que é desconhecido ou proibido parece mais atraente»."
"Kikongo","Kuna kuyenganga nzundu, tadi ulalanga ko","Onde tinem o martelo e a bigorna, gasta-se o ferro. Todo grande trabalho de longa duração consome tamanha energia, torna-se desgastante e acarreta sacrifícios."
"Kikongo","Kuna mfulu kindoki kokala waku","É desejável que no conciliábulo dos bruxos esteja presente um dos seus memdbros para assumir a sua defesa em causa de necessidade. «Os semelhantes defendem-se»."
"Kikongo","Kuna twadila wiki kutusisa nkutu a ngangu","Onde comemos o mel é aí onde esquecemos a bolsa da sabedoria. Este provérbio faz lembrar um momento histórico durante o qual o gozo dos bens presentes fez esquecer de poupar os recursos necessários que porriam assegurar o presente e o futuro. «O defeito habitual do homem consiste em não saber prever a tempestade pelo bom tempo» (Nicolas Machiavel)."
"Kikongo","Ku nim'a ntangu ka ntangu ko, ku ntwal a ntangu ka ntangu ko","Depois da hora, já não é a hora, antes da hora, não é ainda hora. «Tudo quanto está feito depois do tempo é uma perca de tempo, tudo quanto está feito antes da hora é um desperdício do tempo.»"
"Kikongo","Kunsy a ntukulu tudila nkala, kakuwisakani nkukutu-nkukutu ko","Debaixo do banco de peixes onde vamos comer caranguejos, deve-se evitar uma mastigação ruidosa. Este provérbio é utilizado para impor um silêncio rigoroso aos participantes de uma reunião secreta, de sorte que nada transpire absolutamente."
"Kikongo","Ku nzo a nlwazi à malavu rakulundisilwanga malavu ko","Não deixa guardar o vinho de palmeira em casa do colector de maruvu. Não é seguro confiar a alguém a guarda de um bem de que ele vive ele próprio. «A ocasião faz o ladrão»."
"Kikongo","Kusadisi vaikisa ngombe una mu wulu ko","Não ajuda um boi a sair de um fosso, pois, depois de sair, é a ti que vai dar o primeiro golpe de chifres. Este provérbio aplica-se a pessoas ingratas que se viram contra os seus benfeitores."
"Kikongo","Kusikamesi (mbwa) lele ko","Não despertas o gato adormecido. Não provoques problemas onde eles não existem."
"Kikongo","Kutukidi nkinzi nzala","Depois da festa suceda a fome. «Passada a festa, ficam as dívidas e a roupa suja» (Pov.Judaíco — R. Sha)."
"Kikongo","Kutu kumosi kuwidi, matu ye matu makambana","Uma orelha ouviu, que as restantes orelhas se informem entre si. Este adágio pede aos ouvintes presentes de ser porta-vozes para os ausentes."
"Kikongo","Kutumisi mambu madingalele ku futa mesa ku vata ko","Não convides para a aldeia os problemas da mata que te são alheios e afastados. Não seja um mancha-fiestas, suscitando problemas ou dificuldades onde há apenas paz e entendimento."
"Kikongo","Ku tutukidi ku lã, ku tukwenda ku kufi","O lugar donde viemos é mais longe, lá aonde vamos é mais perto. Quando medimos o caminho percorrido, achamos que estamos mais próximo do fim que do início. Contudo, acontece que é quase no fim que o fardo torna-se mais pesado e que o sucesso parece nos escapar. Este provérbio convida-nos a resistir ao desânimo, e a fazer os últimos esforços para atingir o êxito final. Defesa portanto de abandonarmos o combate pela vida quando o termo já está à vista."
"Kikongo","Tutungila va mosi (kwaku tutuka tuwisananga)","Na nova aldeia, habitaremos juntos, mas é bom que neste antiga mostremos que nós nos entendemos bem. «É o presente que assegura o futuro»"
"Kikongo","Ku vovingi ko vo «kina malembe ko»","VOVANGA VO «KATUNA MALEMBE KO».Não digas: «Eu sou uma pessoa importante». Diz: «Somos pessoas importantes» «Os homens não se medem aos palmos»."
"Kikongo","Kuvwezi nkwaku mu kuma kya keva ko","Não desprezes o teu próximo por ser pequeno. O ser pequeno não é ser uma metade de homem. «Não te sintas superior, visto que nunca será tão grande como a terra, nem tão alto como as montanhas». (Provérbio Árabe — R. Sha)."
"Kikongo","Kuziudi mawulu ma nkulu ko","Não reabras antigos fossos. O provérbio aconselha de não reabrir antigos fossos em que se pode encontrar mortos enterrados há muito tempo e cuja memória provoqueria desagradávéis pesadelos ao violador das tumbas. Não recomeces as antigas contendas já enterradas."
"Kikongo","Kwa mvwama ku sompesa ko, kwa mputu ku kanikina ko","Ao rico não emprestes, ao pobre não prometas. Para O rico só os seus interesses contam, os dos demais lhe interessem pouco. Quanto ao pobre, «o prometido é devido»."
"Kikongo","Kwa vita mfuma mbembe vwangama (zangama) kaka","Onde há um bosque, o falcão põe-se à vontade. Onde alguém tem um parente ou um amigo, ele está bem-vindo."
"Kikongo","Kwa yenda niu, kwavw'e ndozi","Onde chegou a cabeça (= o homem), acabaram os sonhos. O que os olhos viram tornou-se uma verdade pois «ver é crer»."
"Kikongo","Kwenda ku zandu, vwa kya teka yovo kya sumba yovo: kwenda ku zandu, vwa kyma kya teka yovo kya sumba","Quem vai ao mercado tem algo para vender ou para comprar. Este adágio mostra que nada se faz sem motivação ou necessidade. A necessidade comanda a acção humana, por ser um dos três déspotas ou tiranos citados por Menandre, que são: «a lei, o uso, a necessidade»."
"Kikongo","Kwenda lulenge, vutuka lulenge","Vai são e salvo, e regressa também são e salvo. É a maneira de desejar boa ida e bom regresso a alguém. prestes a empreender uma viagem."
"Kikongo","Kwenda ye tala ku nima ka wonga ko ngangu za kwendela","Caminhar e olhar por detrás não é um sinal de medo, mas de segurança para o prosseguimento da caminhada. «Caminha como um camaleão, olhando para frente, mas com um olho para trás» (Prov.Japonese - Rosa Sha). «O seguro morreu de velho». (Prov.Japonais — Rosa Sha)."
"Kikongo","Kyadi kakimanisanga diambu ko","Tristeza não supera nenhuma situação, nem paga dívidas. Uma atitude aflitiva prolongada conduz ao desânimo e à auto-destruição."
"Kikongo","Kyadi kya nsusu ntangu a nkokela","A tristeza da galinha manifesta-se à boca da noite. A falta de um lugar seguro para dormir é uma disgraça por todo ser vivente. Como a galinha aludida neste provérbio, os óriãos, as crianças da rua, sentem também a sua mágoa à tardinha."
"Kikongo","Kya fioti mu disu kakyendi ko, mu nwa kwenda kwani","A pequenina coisa não pode entrar nos clhos, mas pode bem entrar na boca. Este provérbio significa que, se uma pequena coisa não pode entrar no olho sem provocar danos, pode, no entanto, satisfazer uma outra necessidade não menos importante. É o pouco que se torna grande."
"Kikongo","Kyafioti kina va koko kilutidi kya nene kin'ova lá","O pouco na mão vale mais do que o muito fora de alcance. «Mais vale um pássaro na mão que dois a voar»."
"Kikongo","Kya fyoti kyafyoti kiyurutilang' ensusu","Grão a grão enche a galinha o papo. «Muitos poucos fazem muito»."
"Kikongo","Kya ngovo kakikondelanga ngolo ko","Não se pode poupar esforços para adquirir o que é gratuito. Quem poupa a sua energia para conseguir o que se lhe oferece gratuitamente perde um assunto de ouro."
"Kikongo","Kyaku kyaku, kyangani kyangani","O que é teu é teu, o que não é teu é alheio. «O teu bem é seguro, o de outrem não o é para ti»."
"Kikongo","Kyaku kyaku, mbwa ibosi kanwa maza","O que é teu é teu e teu cão pode beber a água à vontade. «O que é teu é melhor do que o que é alheio»."
"Kikongo","Kyaku mbuta, kyangani nleke","A tua própria possessão vale mais do que a do outrem. O bem próprio é maior e melhor do que o bem alheio."
"Kikongo","Kya nkweno mbalu, kana kikonda koma, kana kiluta katula","A conta do outrem deve ser justa: se faltar algo completa, e se sobrar, retira. «Boas contas fazem bons amigos»."
"Kikongo","Kyasimanga (kyatimunanga) nwa ko wakonda mpuku","Nunca cavo um buraco sem encontrar um rato nele. Não digo nada sem efeito."
"Kikongo","Kya vw' aole kyalekisa nkweno nzala","O que pertence a duas pessoas restringe a liberdade de ambas de utilizá-lo à vontade. «O meu vale mais do que o nosso»."
"Kikongo","Kyayendanga ku lumbu lwa mfumu a vata ko, e lumbu akusila ntu muntu mu lamba, kwenda ukwenda ko","«Nunca fui à casa do chefe». Mas no dia em que te puser a cabeça de um homem na sacola, tu procurarás ir ter com ele. Com efeito, se alguém te acusar de ter roubado a sua criança que, por acaso, foi encontrada em tua casa, a tua primeira reacção será de procurar a autoridade para te defender e estabelecer os factos e fazer a justiça na tua presença, pois, «nem sempre os ausentes têm razão». O provérbio quer demonstrar que ninguém pode viver seguro, desafiando a autoridade responsável da ordem, paz, justiça e protecção."
"Kikongo","Kyeto kyeto, kyame kyame","O que é nosso é nosso, mas o que me pertence é meu. «O que é meu vale mais do que o que é nosso» (B. Franklin)."
"Kikongo","Kyeto kilutidi ekyangani","O que é nosso é mais importante do que o que é alheio. «A lareira da nossa casa dá mais calor que a do vizinho» (prov. Russo - R. Sha)"
"Kikongo","Kyonso kifwidi mu ntambu bakama kifwete bakama","Tudo o que a ratoeira apanhou é nosso e devemos levá-lo. «Tudo o que o vento traz à nossa alcance está bem-vindo»."
"Kikongo","Kyoki lumbu kiwutidi na nkai e futa ayokele","No próprio dia em que o antílope pariu, queimaram o mato. Este provérbio usa-se quando se dá uma má coincidência de um evento feliz (o nascimento de uma cria) com um outro evento infeliz (como a queima do mato, ameaçadora da via dos recém — nascidos e os seus pais)."
"Kikongo","Kyokyo udyanga kidye-kidye ikiku dya","O que tu comes ávidamente é o que vai te comer ou matar silenciosa e insidiosamente pela sua vez. «Os pratos deliciosos e convidativos que comemos com prazer, mata-nos traiçoeira e silenciosamente»."
"Kikongo","Kyula dikakondela nkila mu diambu die sukinina","O sapo foi-lhe recusada a cauda por causa do seu atraso no dia da distribuição. A pontualidade é uma das condições do sucesso em competições."
"Kikongo","Kyula nkwa nsoki ukumvondanga","É um homem cruel que pode matar um sapo. Os seres fracos e humildes são vítimas dos maus."
"Kikongo","Kyula ukota mu nkalu tekama","O sapo para entrar numa calabassa deve meter-se de soslaio. Há pessoas que utilizam vias indirectas para conseguir os seus fins."
"Kikongo","Kyundulu ka kina nzamba ko","Está-se sem erva para apanhar o salalé preto-castanho que está a sair abundamente. Diz-se de uma afluência de coisas que surge sem possibilidade de enfrentá-la."
"Kikongo","Lakwa ntete vunina nkata","Quem não consegue levar uma carga acusa a almofadinha. «Um mau trabalhador acusa as suas ferramentas». Ora. «quem se queixa, alhos come»."
"Kikongo","Lawu kya nzenza mu nkunga kakotilanga mu vata","É por canção que um maluco estranho entra numa aldeia alheia. O provérbio mostra que a canção pode, pelo seu efeito suave, ocultar ou aliviar a dor, abrandar ou amolecer os corações e entreter os homens pelo bálsamo da suavidade, tornando-os benevolentes uns para com os outros, mesmo para com os desconhecidos. «Quem canta, encanta os seus males» (Cervantes - Dom Quichote)."
"Kikongo","Alele antu, asikama a mpofo","Os adormecidos são homens activos, os despertados são homens cegos. Este provérbio refere-se à actividade de um homem adormecido e um outro em estado de vigia, e mostra que a actividade do homem adormecido dirigido pelo seu subconsciente é mais eficiente que a do homem despertado."
"Kikongo","Avo zola tunda, kukadi ye ntima bala ko","Se tu queres as honras, não tenha um coração de pedra."
"Kikongo","E kanda kanda, ku vondi longo lwame ko","E LONGO LONGO KU VONDI UNGUDI WAME KO, YOVO: E UNGUDI UNGUDI, KU VOBNDI KO LONGO LWAME E NKENTO, NKENTO, KUVONDI KO UNGUDI WAME.Família, família, não destrua o meu matrimónio. Mulher, mulher, não destrua a minha família.O provérbio quer mostrar que a família e a mulher são indispensáveis na vida de um homem, pelo que é imprescindível o entendimento entre os cônjuges e os membros das suas respectivas famílias para uma vida familial harmoniosa. «Um homem divorciado é um homem infeliz»."
"Kikongo","Kana kala ngeye mosi, yuvula mbundu aku, avo à ole luna luyuvudyana","Se estiveres sozinho, consulta o teu coração se estiverdes dois, tomai conselho um do outro. «Dois conselhos valem mais do que um»."
"Kikongo","Kana landa ndoki, ngeye mpe se undoki kana landa lau, ngeye mpe kitukidi lau","Se seguires um bruxo, tu te tornas também bruxo e se seguires um maluco, tu te assemelhas também a ele.«Diz-me com quem andas, dir-te-ei as manhas que tens»."
"Kikongo","Kan'asisila nkalu, wudika ziwudikanga kan'asisila wantu, wutan'awutananga","Se os mais velhos te deixarem calabaças como herança, estas partem-se, mas se te deixarem homens, estes multiplicam-se.Se herdares de bens materiais, eles acabarão, mas se herdares de homens, eles se prolificarão."
"Kikongo","Kana ntá yo: mbizi kana mvova dio: dyambu","O que matei é um animal, o que eu disse é uma palavra.Não se vai à caça em vão e não se fala sem assunto."
"Kikongo","Kana tula kangu va tiya, tula kio masangu, avo kewau ko kizinini","Se puser uma frigideira no fogo, ponha nela amendoins para grelhá-los pois, no caso contrário, a frigideira será calcinada.Se promover um encontro com outras pessoas, deve ter um assunto a tratar com elas. No caso contrário, a sua actuação seria considerada como uma brincadeira de mau gosto."
"Kikongo","Kana umvana nlembo, yandi bakidi koko","Dá-se-lhe um dedo, ele toma o braço.Diz-se dos que abusam da generosidade dos outros pois não se contentam apenas com aquilo que lhes é dado, mas apoderam-se até mesmo do que não lhes é oferecido. «Faz bem ao vilão, morder-te-á na mão castiga o vilão, beijar-te-á a mão»."
"Kikongo","Kana zola mbwenge, mafungununu kuyingi ko","Se quiseres o feijão, não afugenta os vespões.Os vespões picam mas são também necessários para fazer florir e germinar o feijão.«Aquele que come mel deve suportar as picadas das abelhas» (Provérbio Árabe — R. Sha)."
"Kikongo","Ka va fwa kyeto ko (ke vafwa kyeto)","Não temos nada a perder nesse assunto.«Quem nada tem, nada tem a perder por isso, ele pode dizer: «aconteça o que acontecer» ."
"Kikongo","Kayila muntu mbizi, lumbu ki mosi ka dya yo, unlongi loa, se kadya lumbu yawonso","Oferece peixe a alguém, ele comerá um dia ensina-o a pescar, ele comerá todos os dias.Quem te ensina te torna igual ou superior a ele próprio, pois a instrução é poder e é mais que riqueza."
"Kikongo","Koko kuvananga, yoya kuyoyanga koko kutambulanga ka kuyoyanga ko","A mão que dá cansa-se de dar, mas a mão que recebe não se cansa de receber.«Dar é um bom rapaz, mas cansa-se depressa» (Prov. Escocês)."
"Kikongo","Kuna kwatungila muntu aku ka kukalanga kwa ndá ko","Onde reside o teu parente nunca está longe para lá chegar.«Longe é lá onde não há nada mas onde há uma coisa, tu removerás céu e terra para lá chegar» (Provérbio Shona - Zimbabwe). «A casa do teu irmão nunca fica longe»."
"Kikongo","Ku nzo a ndoki ka kulundilwangwa mbevo ko","Não se deixa baixar um doente em casa do feiticeiro.Não se deve confiar a alguém a guarda de um bem de que ele gosta muito. «A ocasião faz o ladrão». Não tenta alguém acima de suas forças.Não arma contra alguém uma tentação a qual não pode resistir:"
"Kikongo","Kwanga ku ntu, mfumeu simba mu mbombo, menga","Ao esfregar a cabeça, vejo o pó cair, e ao tocar o nariz é o sangue que corre.O provérbio refere-se a uma situação sem solução. Assim, «não se sabe a que porta há-de ir bater»."
"Kikongo","Kyeleka kyeleka kyayenda ku mbanza e luvunu nkata iwafundanga","A verdade, só a verdade deve ir à cidade, a mentira deve ficar de cócoras.O provérbio refere-se ao homem da verdade que deve vencer e e ser bem-vindo à cidade, onde tem o seu lugar mas ao mentiroso deve ser tolhido o passo para não perturbar a cidade."
"Kikongo","Longa mwana ukwenda ku makinu, kulongi mwana tukidi kumakinu ko yovo: - longa mwana ukwenda ku zandu,  ku longi mwana utuka ku zandu ko","Aconselha uma criança que vai à dança e não que vem da dança   ou: instrua o filho que vai ao mercado e não quando já está de volta. Em termos de conselho ou de instrução,  é melhor aconselhar ou instruir o jovem antes da acção que depois do cumprimento da acção. Um conselho posterior a  uma má acção tem valor de censura e não de sobreaviso. «O conselho que chega depois do engano é como um remédio depois   da morte» (Prov. Dinamarquês — R. Sha)."
"Kikongo","Longa nkwa ndwenga se katonda, longa nkwa lulendo se kamenga","Aconselha um homem sábio, ele amar-te-á, aconselha um homem o rgulhoso, ele odiar-te-á. Este provérbio mostre que um homem inteligente não só aprecia e aceite um bom conselho mais também  agradece ao seu autor, ao passo que o tolo, não apenas o rejeita, mas também odeia o seu autor. détestera."
"Kikongo","Longa nzambi owanga, longa muntu ka wanga ko","O homem gosta de aprender pela sua própria experiência com Deus e não através  da experiência alheia. 158 «A infelicidade ensina melhor do que a advertência».  «A experiência pessoal é o grande mestre do homem»"
"Kikongo","Longa zowa, tumbulwela","Para instruir um néscio, deve-se lhe dizer toda a verdade.  «Não se pode corrigir os homens senão mostrando-lhes tais como” são» (P. A. C. de Beaumarchais — in Figaro)."
"Kikongo","Lufwa lwa nankandi: va ntandu tadi, mu nsi tadi","A morte da noz advêm dum golpe que lhe é acenado em cima e por uma outra em baixo. Trata-se de uma situação de alguém que está entre a espada e a parede, ou entre a cruz e a caldeirinha."
"Kikongo","Lufwa nkutu a nsimbani","A morte é uma bolsa de solidariedade. Este provérbio assimila a morte a um evento que suscita um sentimento de solidariedade activa."
"Kikongo","Lufwa nludi a nzo ka unatanga muntu mosiko","A morte é como um tecto de uma casa que não pode ser removido por um só indivíduo.  «A morte é um assunto que una familia e amigos do defunto para as suas exéquias.  «A união faz força, a divisão ê fraqueza»."
"Kikongo","Lufwa ye dya kavambananga ko","A morte e a comida não se separam  pois onde há morte, há também comida,  para que a vida possa continuar. «A alegria e a tristeza vivem lado ao lado»."
"Kikongo","Lukaya ludyanga ngudi a nkombo, iludyanga mpe an'a nkombo","A folha que come a cabra mãe é a que comem também as suas crias. «Tal mãe, tal filha»."
"Kikongo","Lukila nganga, mayela kamavwidi ko","Cuida bem do curandeiro, pois as doenças não acabaram.  O provérbio aconselha de tratar bem aquele de cuja ajuda se pode ainda precisar."
"Kikongo","Luku lwa tiya ye makaya ma tiya ke lutomanga ndilu ko","A  farinha de mandioca quente e o condimento quente não vão bem juntos. O provérbio significa   que não é bem de tratar dois problêmes dificeis ao mesmo tempo. Muito calor prejudica toda acção, pois queima."
"Kikongo","Luku tudila vá mosi, kansi nguba konso muntu ye lamba kyandi","Comamos juntos a farinha de mandioca, mas os amendoins, cada um coma do seu bolso.  O provérbio aconselha de partilhar com os outros o que pode ser comum a todos, mas de guardar por si o que é particular para   que cada um goze do seu direito."
"Kikongo","Lukuna lwa dyoko vana lubwididi lufwete mena","Um ramo de mandioca cresce em qualquer lugar em que cair.  «Uma boa semente, mesmo se cair no mar, tornar-se-á uma ilha» (Povérbio Malaio — R.Sha)."
"Kikongo","Lulungu lwa nsamba (lwa kongo) lokolela mukati ka kumbasi ko","Yovo: LULUNGU LUNDWELO NGANZI MU KATI.  O pimento do Kongo é de pequeno tamanho, mas é maduro e picante por dentro. «Pequeno mas forte, pequeno de tamanho mas grande de coração. «A pequeneza e a humildade não são sinais de fraqueza»."
"Kikongo","Lumbongi zala, lunsil ana  lumbongi ana, lunsiv'e zala","Levem o ninho e deixem-me as avezinhas, ou levem as avezinhas e deixem-me o ninho.  Este é o grito de uma ave âqual foram levados os pequenos e o ninho. Pode ser também o lamento de uma pessoa privada de tudo quanto tinha e que é obrigada a recomeçar a vida a zero. «Nunca uma desgraça vem sozinha»."
"Kikongo","Lumbu ifwa va ntanda izyamina! mewa itoma","Quando eu morrer, terei grandes exéquias públicas. Sim, mas tudo dependerá das circunstâncias e condições do momento e da tua morte. O provérbio exprime o desejo de quem quiser ter um enterro grandioso, sem ter em conta que um tal evento dependerá da natureza e das circunstâncias da sua morte no tempo e no espaço. «Homem propõe, Deus dispõe»."
"Kikongo","Lumbu kya wutuka kizayakananga, lumbu kya fwa ka kizayakananga ko","Sabe-se o dia do nascimento, mas não se sabe o dia da morte.  O passado é conhecido, mas o futuro é uma incógnita."
"Kikongo","Lumbu kimosi kifwa nzau ka kiwodi nzau ko","Um elefante pode morrer num dia, mas não pode apodrecer-se no mesmo dia.  Num dia pode acontecer um grande evento, mas os seus efeitos não podem acabar no mesmo dia. Há tempo disponível de envolver-se nele. «O tempo é um grande mestre, arranja muitas coisas» (Corneille — in Sertorius II: Iv - citado por M. Maurois — Larousse)"
"Kikongo","Lumbu udya ndungu ki uvava maza","O dia em que comeres pimento é que precisarás da água. Não recuses prestar serviços aos outros, pois um dia precisarás deles. «O homem é um aprendiz, a dor é o seu mestre» (Alfered de Musset). «Quem pense só em si quando tudo lhe corre normalmente, na infelicidade não tem amigos» (H.V.Roy)"
"Kikongo","Lum'vukunwina! iwau kenavo ko, avo una vovo yandi mosi ukivukunwena","Reservem-lhe a sua parte se for ausente, mas se for presente servir-se-á ele próprio. «Não se deve falar no lugar de alguém que está presente, nem interpretar o seu pensamento contra a sua vontade."
"Kikongo","Lundiswa kavwa ko","Um depositário não é dono do que lhe é confiado. Diz-se de uma coisa cuja guarda é confiada a alguém, a título oneroso ou não, e da qual ele pode gozar de um certo usufruto. Este provérbio é utilizado particularmente nos assuntos de casamento para mostrar que o marido não é o dono da sua mulher cuja guarda lhe é confiada pelos parentes desta última, e que mesmo os filhos que os dois vierem a procriar, serão pertença de Deus perante o qual eles serão responsáveis pela sua vida, protecção e bem-estar."
"Kikongo","Lungweni nti kalengolanga uk amatanga","O camaleão trepa a árvore que olha de soslaio. O ambicioso chega a conseguir o objecto que tanto almeja."
"Kikongo","Lunwanina mbisi ka lunwanini nkanda ko, nkanda kima kibâkuka","Luta pela carne mas não pela pele que pode ser rasgada. O provérbio significa que uma luta cujo resultado é autodestruição é uma tolice."
"Kikongo","Luse lutomene, kosi dilevokele (mpolo yazita, kosi dyalevoka)","O teu semblante é respeitado, mas a nuca é desprezada. «O rosto vale mais do que o occipício» (Caton o Censor). Diz-se de alguém que tem parte de razão e de culpa ou cujas palavras contrariam os sentimentos do seu coração. É assim que um tal parece ser bom por fora mas mau por dentro."
"Kikongo","Lutuvondi nkita, twakituk'anganga (lutufw'enkita, twakituk'anganga)","Iniciem-nos no mistério para nos tornarmos também iniciados. Esta iniciação diz respeito à informação necessária sobre um assunto em discussão, para se ter o conhecimento da situação a resolver."
"Kikongo","Luvang'oma ivovanga, kaluvangi ko oma ivanganga","Fazei o que eu digo, não façais o que eu faço. Estas palavras são uma auto-identificação dos falsos pastores, condutores de homens, autênticos lobos transformados em pastores, que fazem exactamente o contrário dos seus sermãos e discursos. «Pela obra se conhece o artista» (La Fontaine). «É mais fácil dar conselhos que cumpri-los»."
"Kikongo","Luvila vo lufwanana, wana kanda di mosi luna, kalulendi kwelana yovo sopana ko","Se nome do clã for aparentado, vocês são da mesma família e não pode casar entre si. O casamento endogâmico é proibido."
"Kikongo","Luvunu ka mvuluzi ko","A mentira não salva. «O que usa de engano não ficará dentro da minha casa  o que profere mentiras não estará firme perante os meus olhos» (Salmos 101:7)."
"Kikongo","Luzenga nti, konso kuna ubwila ku sole","Abatam a árvore, onde cair é a floresta. A máxima exprima uma aceitação resignada de qualquer solução de uma situação sem saída. «A necessidade não conhece leis», «Aconteça o que acontecer»."
"Kikongo","Luzitu zitazyiana","O respeito deve ser recíproco. «O respeito depende da reciprocidade» (G. T. Zona) «Respeita e tu serás respeitado». O verdadeiro respeito deve começar pelo respeito de si próprio, pois quem se respeita a si será respeitado."
