KIKANI.,Portuguese
"Mesmo se almofadinha não lhe caísse, era também o lugar em",Portuguese
"«Quando o operário é mau, nenhuma ferramenta presta» ou «os maus operários",Portuguese
queixam-se sempre das suas ferramentas».,Portuguese
burden.,Portuguese
"KANA KATULA MBELE VA MOKO MA MWANA, VINGISA NTI.",Portuguese
pain. ',Portuguese
"KANA KIWANA, DILA KYO.",Portuguese
"Se um bem acontece enquanto estás ainda vivo, aproveita-te dele.",Portuguese
"quando isso acontece em devido tempo, enquando vivemos.",Portuguese
79,Portuguese
"KANA KIWUNIKINA KITONDELE (KIZOLELE), KANA KIKUFUINI",Portuguese
KITININI.,Portuguese
"Quem te farejar quer-te, quem te repugnar odeia-te.",Portuguese
dera-se teu inimigo:,Portuguese
"KANA KUMP'E NKISI, KUMBA MPE E NGANGA.",Portuguese
"Variante: Se admiras o remédio, admira também o médico ou o curandeiro.",Portuguese
zer da dádiva».,Portuguese
proverb).,Portuguese
XVII: 280).,Portuguese
8o,Portuguese
"KANA KUNENGE, KIA KAKA KUKIA, Yovo: KANA KUZINGIDI KIA",Portuguese
KAKA KU KIA.,Portuguese
"KANA LANDA LAWU VWATA, VO KUVWETE KO NGEYE MPE",Portuguese
AYIKIDI LAWU.,Portuguese
"KANA LANDA MUNTU AMBOTE, NGEYE MPE KITUKIDI MUNTU AMBOTE.",Portuguese
"Se andares com os bons, tornar-te-ás bom também.",Portuguese
«Chega-te aos bons e serás bom».,Portuguese
"KANA LANDA NDOKI, NGEYE MPE SE UNDOKI; KANA LANDA LAU,",Portuguese
NGEYE MPE KITUKIDI LAU.,Portuguese
"Se seguires um bruxo, tu te tornas também bruxo; se seguires um maluco, tu te",Portuguese
"KAN'ALOMBA KIA KOKO, NGEYE VANA KIA KULU.",Portuguese
"Se te pedirem uma parte do braço, dá-lhe uma parte da perna.",Portuguese
"«Amor com amor se paga», e «o favor gera favor».",Portuguese
81,Portuguese
"KAN'ALONGA NGANGU, WANUKA YE ZAKU.",Portuguese
"Se te ensinarem conhecimentos, utiliza também os teus próprios conhecimentos.",Portuguese
"Dai, «não basta apenas aprender conhecimentos, mas também saber utilizar os",Portuguese
"seus próprios, reflectir e escolher eclecticamente».",Portuguese
proveito deles».,Portuguese
tirer profit».,Portuguese
"KANA LOZA MATE MU ZULU, NGEYE MOSI MAVUTUKILA VA LUSE.",Portuguese
"«Os nossos pensamentos, acções e obras, retornam-se contra nós cedo ou tarde,",Portuguese
com uma assombrosa exactidão» (Florence Scovel Shin).,Portuguese
retourne contre son auteur.,Portuguese
82,Portuguese
accuracy» (Florence Scovel Shin).,Portuguese
"KANA LUMONA KAKA YIMBI, E MBANGALA YIKIELE.",Portuguese
"Quando virem o gavião pairar nos ares, é o anúncio da estação seca (o Verão).",Portuguese
"manifestar, indicará o momento da realização do compromisso.",Portuguese
"son sêche,",Portuguese
"KANA LUWA KELENGEZE, MU TADI.",Portuguese
o trabalho na lavra acabou.,Portuguese
"KANA LWAKA VA SAU DIA NKOKO SAUKA SAUKA, IMANATA SAU MENGI.",Portuguese
83,Portuguese
É portanto oportuno «malhar enquanto o ferro está quente».,Portuguese
"KANA MBWA NOKENE MVULA KUTUDI KU TIYA KO, VAVA KAYUMA,",Portuguese
NGEYE KATATIKA.,Portuguese
vai morder.,Portuguese
"tomadas bem-sucedidas, se voltam contra os seus benfeitores.",Portuguese
«Por bem fazer mal haver».,Portuguese
KANA MONA KUFUTUMUKANGA MWISL NZO INA KO.,Portuguese
"Onde há fumo, há uma casa.",Portuguese
Não há fumaça sem fogo e não há efeito sem causa.,Portuguese
"KANA MONA NDOKI, KEKUMUNA, VO KU KEKUMWENE KO UMINI NDINGA.",Portuguese
"Toma precaução contra o perigo, pois «homem prevenido vale por dois».",Portuguese
84,Portuguese
speak.,Portuguese
"KANA MONA NTIETIE KUMIK'E NZONGO, MU NSI KA MOSALA NUNI",Portuguese
ZA NENE KO.,Portuguese
mas.,Portuguese
"KAN'ASISILA NKALU, WUDIKA ZIWUDIKANGA;",Portuguese
"KAN'ASISILA WANTU, WUTAN'AWUTANANGA.",Portuguese
"te deixarem homens, estes multiplicam-se.",Portuguese
prolificarão.,Portuguese
proliféreront.,Portuguese
will proliferate.,Portuguese
"KANA SOPA NKENTO, NDONA SOPELE.",Portuguese
(Francis Bacon).,Portuguese
85,Portuguese
Bacon).,Portuguese
"KANA SOPA NKENTO, SOPELE MPE MAMBU MA KANDA DIANDI.",Portuguese
"Quem casa com uma mulher, casa também com os problemas da família dela.",Portuguese
problemas ao lado da sua mulher e esta também faz o mesmo quanto aos proble-,Portuguese
mas da família do marido.,Portuguese
wife's family.,Portuguese
"KANA SOPELA VA KANDA, KITUKIDI KÔ YE NZADI (NZITU YE NKWEZI).",Portuguese
"Se casares dentro da sua própria família, tornas-te genro e cunhado ou nora e",Portuguese
cunhada.,Portuguese
"cunhadas, dentro da mesma família.",Portuguese
alliance.,Portuguese
famille.,Portuguese
86,Portuguese
NKULU),Portuguese
"Yovo: KANA SUMBA SENGELE KYA MPA, KULOZI KO SENGELE KIA",Portuguese
NKULU.,Portuguese
enxada (ou o antigo machado).,Portuguese
"Se tiveres um novo amigo, não abandones o antigo.",Portuguese
cienne.,Portuguese
KANA NTÁ YO: MBIZI; KANA MVOVA DIO: DIAMBU.,Portuguese
"KANA TÁ DIO, WANUKA DIAU",Portuguese
"Yovo: KANA VOVA DIO, WANUKA DIAU.",Portuguese
«Quem boa cama fizer nela se deitará».,Portuguese
words.,Portuguese
"KANA TALA NDUNDU, VETAMENA NDUNDU, NDUNDU",Portuguese
KATALIWANGWA YOLE KO (= MBALA ZOLE KO).,Portuguese
"Se olhares para um albino, baixa os teus olhos, pois não se deve fitar o albino",Portuguese
duas vezes.,Portuguese
parte.,Portuguese
bert).,Portuguese
87,Portuguese
"KANA TALA SEKO, TALA MAZA.",Portuguese
despesas ao teu rendimento».,Portuguese
"KANA TIMUNA FUKU DIE WOLA, YA WOLA UWANA MO.",Portuguese
Fazer reviver antigas feridas dói.,Portuguese
riture.,Portuguese
Ranimer d'anciennes blessures provoque d'atroces douleurs.,Portuguese
"KANA VWEZA NIANGA NKUFI, NOKENO.",Portuguese
étoile.,Portuguese
88,Portuguese
open air.,Portuguese
Não devemos esquecer o doador com o prazer da dádiva» (Prov. Umbundu).,Portuguese
"KANA TOTA NTUMBU MU NZILA, MUNTU VITIDI MO SOTWELE YO,",Portuguese
"yovo: KANA BONGOLOLA (BONGONONA) KIMA MU NZILA, MUNTU",Portuguese
VITIDI MO SISIDI KIO.,Portuguese
alheia.,Portuguese
"KANA TULA KANGU VA TIYA, TULA KIO MASANGU, AVO KEWAU KO",Portuguese
KIZININI.,Portuguese
"Se puser uma frigideira no fogo, ponha nela amendoins para grelhá-los; pois,",Portuguese
89,Portuguese
"KANA TUMISA MVULA TEMBO, SIKININA MANKONDO.",Portuguese
"KANA TUMISA WANTU, WANUKA YE DIAMBU.",Portuguese
"Se convidares pessoas, deve ter algo para lhes dizer.",Portuguese
«Quem convida dá banquete». V,Portuguese
parole.,Portuguese
KANA TWENDA KU NTWALA FWA TUFWA. KANA TUVUTUKA KU,Portuguese
NIMA FWA MPE TUFWA. DISUNDIDI TWENDA KU NTWALA K ANELE,Portuguese
VO FWA TUFWA.,Portuguese
"YOVO: KWENDA KUNTWALA LUFWA, VUTUKA KUNIMA OKO VO",Portuguese
"DIAKA LUFWA, OZEVO MBOTE MUKWEND KUNTWALA,",Portuguese
"Se formos adiante, morreremos. Se voltarmos por trás, morreremos.",Portuguese
mundo avança e não volta por trás. Morrer indo para frente é progresso ao passo,Portuguese
dos dois males». John Bunyan confirmou-o peremptoriamente quando afirmou:,Portuguese
mourir.,Portuguese
90,Portuguese
K we go forwards we'll die; if we go backwards we'll die.,Portuguese
"KANA UMBOKELA NTAMBULWELE, KANA UMPAVA KU",Portuguese
KUMBONA KO.,Portuguese
"Se me chamares, respondo. Se me procurares, não me encontrarás, pois será",Portuguese
"Este provérbio realça o velho conselho: «quando uma ocasião se apresenta, não",Portuguese
sera bien trop tard.,Portuguese
"KANA UMVANA NLEMBO, YANDI BAKIDI KOKO.",Portuguese
"Dá-se-lhe um dedo, ele toma o braço.",Portuguese
recido.,Portuguese
91,Portuguese
"Se lhe mandar ir prender alguém, ele vai mata-lo; mas se lhe mandar ir matar,",Portuguese
ele vai prender.,Portuguese
sentido contrário das ordens dadas.,Portuguese
sentencias vii:l).,Portuguese
sentences VII:1).,Portuguese
"KANA UNYADIKA UNZITISA, KANA MONA YENGA UNZANGATA.",Portuguese
"Se tu o aceitas como chefe, respeita-o, e se achares um precipício diante dele,",Portuguese
afasta-o deste perigo.,Portuguese
"com alegria e não gemendo, porque isso não vos seria útil.» (Heb.: 13-17).",Portuguese
avantage». (Héb.13-17).,Portuguese
92,Portuguese
(Heb. 13-17).,Portuguese
"KANA VA LUNZA, KANGILA.",Portuguese
"KANA VANA MBELE KO LAWU, KITUKIDU “'MVONDI.",Portuguese
"KANA VANGA MBOTE, KWA NGEYE MOSI VENGE YO, KANA",Portuguese
VANGA MBL KW'AWONSO VENGE YO YE NGEYE MOSI MU NLONGA.,Portuguese
"rangs (=choques em retorno). Os nossos pensamentos, palavras e acções, cedo ou",Portuguese
tarde nos voltam com uma estufaciente exactidão» (Florence Scovel Shin).,Portuguese
yourself also.,Portuguese
accuracy» (Florence Scovel Shin).,Portuguese
93,Portuguese
"KANA VONDA NGUMBA MU TADI, KUKANGADI YE NKUTU",Portuguese
pedras.,Portuguese
"KANA VOVA DIAMBU, SISA DIAMBU, MBAZI LUMONANA DIAKA.",Portuguese
"Se disseres algo contra alguém, deixa algo também pois novas circunstâncias",Portuguese
(provérbio japonês — Rosa Sha).,Portuguese
ciliation» (proverbe Japonais — Rosa Sha).,Portuguese
tion» (Japanese proverb — Rosa Sha).,Portuguese
"KAN' AVUKA MBELE VA MOKO, WETE AZOLELE",Portuguese
"Yovo: KAN' AKATULA MBELE VA MOKO, WETE AZOLELE.",Portuguese
Yovo: UKATWIDI MBELE VA KOKO WETE KAZOLELE.,Portuguese
"Quem te arranca uma faca das mãos, quer o teu bem.",Portuguese
da tua própria consciência».,Portuguese
94,Portuguese
"KANA VUNA LUTA, KANA LEKA TUNGUNUKINI.",Portuguese
"Se mentires passa, se permaneceres serás desmascarado.",Portuguese
um coxo».,Portuguese
«Não podes ir muito longe mentindo» (provérbio italiano).,Portuguese
"Si tu mens passes, si tu restes tu seras démasqué.",Portuguese
boiteux».,Portuguese
"KANA VWA NKOMBO MBAKALA, VAVA NKOMBO",Portuguese
"NKETO, KANA VWA MBWA MBAKALA, VAVA MBWA NKETO,",Portuguese
"Se tiveres um bode, procura uma cabra. Se tiveres um cão, procura uma cadela.",Portuguese
jeune fille.,Portuguese
"KANA WANA FUNDÁ KU FULA VATA SISA, OYOSISA KIO MAMBU KA MONA,",Portuguese
donou teve apuros.,Portuguese
95,Portuguese
"MABONDO KO. KADI AVO WATELA MO, KUVINGILA ZAYISWA KO,",Portuguese
NGANGA WAU KA KWIZANGA NGEYE UKILAMBULWIDI,Portuguese
(UKILAMBULWELE) KALA MOKO.,Portuguese
"térica, pela compreensão da sua linguagem, accessivél aos primeiros mas incom-",Portuguese
usos e costumes do grupo.,Portuguese
"KANA WENDA KUNA NA NSÁ, NATA SAKA. KANA WENDA KUNA NA",Portuguese
96,Portuguese
"KANA WENDA MU MBANZA, AVO WAWAN' ATELEMA, NGEYE",Portuguese
MPE TELEMA.,Portuguese
"AVO WAWAN'AVWANDA, NGEYE MPE VWANDA.",Portuguese
"estiveram sentados, senta-te como eles.",Portuguese
«Em Roma faça como os Romanos» (Santo Augostino).,Portuguese
"debout aussi. S'ils sont assis, assieds-toi comme eux.",Portuguese
KANA YALA KU YADIDI KO.,Portuguese
"Se governares não te ensoberbeças, tudo tem um fim.",Portuguese
16:18).,Portuguese
16:18).,Portuguese
"KANA YANGA VILULANGA, VO KUVILWELE KO ZINISI.",Portuguese
queimada.,Portuguese
KANA YIVA YANGALALA.,Portuguese
"Situ es laid, sois joyeux.",Portuguese
97,Portuguese
"KANA ZAYA DYO SIA MVUNGU, VO KUZEYE DYO KO BUTALALA YOVO",Portuguese
DINGALALA KWAKU.,Portuguese
"Se sabes dum assunto, apoia-o, se não sabes, abstem-te.",Portuguese
mento e não nos meter onde não somos chamados.,Portuguese
poke our nose into other's affairs.,Portuguese
"KANA ZAYA KESA, ZAYA VENGA.",Portuguese
consequências das nossas palavras ou acções não se tornem contra nós próprios.,Portuguese
mêmes.,Portuguese
down.,Portuguese
"KANA ZAYA MATA, ZAYA KULUMUKA.",Portuguese
"Se sabe subir, saiba descer.",Portuguese
"também um fim, pois nada dura eternamente.",Portuguese
geração?» (Prov. 27-24)...,Portuguese
"Si tu sais monter, sache aussi descendre.",Portuguese
car rien ne dure éternellement. .,Portuguese
bes 27:24).,Portuguese
98,Portuguese
(Proverbs 27:24).,Portuguese
"KANA ZAYA WUTA, ZAYA NKUNGA Yovo: KANA ZAYA WUTA ZAYA SASA.",Portuguese
"Se puderes gerar crianças, sabe tambem canções para acalantá-las.",Portuguese
KANA ZINGA KWA KWINGI SE WA MONA IVA FWILA NZA 980.,Portuguese
"(1º Variante: VO KWAMA ZINGA, SE WAMONA IVA FWILENSI",Portuguese
"YOVO (2º variante): WAKWAMA ZINGA, SE WAMONA IVA FWILENSI",Portuguese
"YOVO (3º Variante): ZINGA KWA KWINGI, MONA VA FWILA NTOTO.",Portuguese
"Se viveres muitos longos anos, presenciarás o fim do mundo.",Portuguese
Se viveres muito serás testemunha do fim do mundo.,Portuguese
parte dos seus. O homem presencia o fim do mundo quando já não pode adaptar-,Portuguese
"caso, Goethe recomenda:",Portuguese
(Publius Syrup).,Portuguese
99,Portuguese
"KANA ZOLA MBWENGE, MAFUNGUNUNU KUYINGI KO.",Portuguese
"Se quiseres o feijão, não afugenta os vespões. .",Portuguese
Os vespões picam mas são também necessários para fazer florir e germinar o feijão.,Portuguese
R. Sha).,Portuguese
haricot.,Portuguese
R. Sha).,Portuguese
Sha).,Portuguese
"«Quem meu filho beija, minha boca adoça».",Portuguese
"«Pegando na criança pela mão, pega-se na mãe pelo coração» (Prov. Escandinavo",Portuguese
— R.Sha).,Portuguese
R.Sha). .,Portuguese
prov. — R.Sha).,Portuguese
100,Portuguese
"Se quiseres o safu maduro, deves cair com o ramo da árvore.",Portuguese
"«Quem quer peixe molha o rabo, e quem quer bolota trepa».",Portuguese
(Aldoux Huxley).,Portuguese
(Aldoux Huxley).,Portuguese
"KANA ZOL'AZITISA, NGEYE MPE ZITISA MPANGI ZAKU,",Portuguese
"Se quiseres ser respeitado, respeita também os teus semelhantes.",Portuguese
KANDA DINA NKUNA-NKENTO KA DIFWANGA KO.,Portuguese
Uma clã com uma descendência feminina não pode desaparecer.,Portuguese
"nina, pelo contrário do regime patriarcal.",Portuguese
KANDA DYA NKWENO KALUNGA KAZUNGWA KU NTO KO.,Portuguese
101,Portuguese
KANDA KA KIMFUMU KIA MASANGU KO VO AWONSO NZEVO KIKULU.,Portuguese
onde todos mandam».,Portuguese
"KANDA KANA SOPELA DYO SE DYAKU, MFINDA KANA",Portuguese
SOLELA YO SE YAKU. (Ngana 118),Portuguese
bém. (Cf. Prov. 118),Portuguese
labourent.,Portuguese
plough (plow).,Portuguese
"KANDA KA ZANDU KO VO TUTELE DIO, IBOSI TUVAMBANENE KWETO.",Portuguese
"KANGALA YE NYANZI-ANTU SE OKIKWANGA-KWANGA KUNTU, VO",Portuguese
KANGELE YE MBUNGININI SE KAVIMBIS'E LUSE.,Portuguese
«Entre dois males deve-se escolher o menor».,Portuguese
102,Portuguese
KASI NZENZA.,Portuguese
te — édition Espagnole).,Portuguese
KASUMBILANGA NGUMBA MU NKUTU KO,Portuguese
Yovo. NGUMBA KASUMBILWANGA MU LAMBA KO.,Portuguese
Não se compra perdiz no bolso ou gato por lebre.,Portuguese
Não se pode concluir um contrato sobre um assunto desconhecido.,Portuguese
KATI-KATI MFUNDI YA MINA MBEVO.,Portuguese
KATULA NGO MU NZILA NKOMBO KALUTA.,Portuguese
"«Elimine o perigo do caminho, tudo calhará às maravilhas».",Portuguese
103,Portuguese
go very well. .,Portuguese
"KATULA NTETE IKINA VA SEKA, IKINA MU KATI IBOSI",Portuguese
KILANDA yovo KIMONA NZILA.,Portuguese
coucher.,Portuguese
follow.,Portuguese
"KATULA NTETE KINA KIKAMBAMENE, IBOSI KINA",Portuguese
KININGAMENE KIMONA NZILA.,Portuguese
«Remove o obstáculo e tudo prosseguirá bem».,Portuguese
avoir accês livre.,Portuguese
through.,Portuguese
"KATULA N'TETE VA NTU YE TULA WO VA VEMBO, MOMO",Portuguese
NITU KAKA IWUNA.,Portuguese
dessa responsabilidade.,Portuguese
não fica por isso menos responsável da carga.,Portuguese
porter.,Portuguese
104,Portuguese
KATUNA MUNGWA KO TOVIDILA MU MAZA.,Portuguese
"KATWAFWANGA KAKA KO, MAKAKAMBA KAKA TWAYENDANGA",Portuguese
(YOVO MU NSOKI MYA ATANTU KAKA TUFWILANGA).,Portuguese
"culpa, é sempre pelo malefício dos outros.",Portuguese
tres personnes malintentionnées.,Portuguese
"KATWAYINGANGA NZENZA KO, NZENZA YANDI MOSI",Portuguese
UKIYINGANGA.,Portuguese
"Nunca expulsamos o estrangeiro, o estrangeiro expulsa-se ele próprio.",Portuguese
"«Quem o seu cão quer matar, raiva lhe põe nome».",Portuguese
105,Portuguese
KA VA FWA KYETO KO (KE VAFWA KYETO).,Portuguese
acontecer» .,Portuguese
navo — R.Sha).,Portuguese
Escandinavo — R.Sha).,Portuguese
what may».,Portuguese
KA VENA KIDYA NA NWA KO KILUTA NA MBOMBO.,Portuguese
KA VENA KIVUMBU KA KIMANISANGA KO.,Portuguese
sont asservis.,Portuguese
106,Portuguese
"KA VENA MBOTE INANGA KAKA KO, KA VENA MPE",Portuguese
MBI KA ISUKANGA KO.,Portuguese
"«Tudo cança, tudo quebra, tudo passa» (provérbio francês).",Portuguese
ne se ressemblent pas».,Portuguese
"«Tout lasse, tout casse, tout passe» (proverbe français)",Portuguese
"«Everything exhausts, everything breaks, everything passes away» (French proverb).",Portuguese
KA VENA MBOTE YAKONDA MPASIKO.,Portuguese
Não há rosas sem espinhos.,Portuguese
«Não há bela sem senão»,Portuguese
Não há alegria sem incómodo.,Portuguese
No rose without thomns.,Portuguese
No joy without annoy.,Portuguese
KA VENA MWISI WA KONDA TIYA KO.,Portuguese
Não há fumaça sem fogo.,Portuguese
Não há efeito sem causa.,Portuguese
107,Portuguese
"KAWENGA, KAWENGA! KONSO MUNTU YE NKUMBU",Portuguese
ANDI. AVO KA NKUMBU AKU KO KUTAMBUDILA KO.,Portuguese
"Kawenga, Kawenga! Cada um tem o seu nome. Se não é teu nome, não respon-",Portuguese
das.,Portuguese
"tes, pois não há dois indivíduos iguais no mundo.",Portuguese
"KAYILA MUNTU MBIZI, LUMBU KI MOSI KA DYA YO,",Portuguese
"UNLONGI LOA, SE KADYA LUMBU YAWONSO.",Portuguese
os dias.,Portuguese
everyday.,Portuguese
"KAYILA MUNTU NKAMA LUMBU, UNYIMINA LUMBU KIMOSI KAKA,",Portuguese
"DIKAZAYIDILA NGEYE UMWIML YOVO NKAMA MVU KATUMAMA,",Portuguese
LUMBU KIMOSO KAKOLOMA IKIZAIDILWA.,Portuguese
nas da recusa.,Portuguese
108,Portuguese
O homem ingrato manifesta-se quando ele reconhece apenas o bem presente e,Portuguese
other thing than your refusal.,Portuguese
KAYILWA KA KAYANA KO.,Portuguese
Dar ou doar não é mear ou dividir por metade ou equitativamente.,Portuguese
«O mendigo não pode escolher.»,Portuguese
bor no seu coração.,Portuguese
"KEMBO DYE NKISI, NGANGA KA KALA KIMOYO.",Portuguese
109,Portuguese
«Dead men tell no tales».,Portuguese
«KATI NKYE NUNI IWOLELE VAVA?»: MWENE NSALA YE,Portuguese
MAVUSL OYUVULANGA DIAKA?,Portuguese
questions? .,Portuguese
KETO DYA DINGI KETUKA.,Portuguese
"«Quem quer tudo, tudo perde».",Portuguese
Trop d'ambition nuit.,Portuguese
"«Grasp all, lose all».",Portuguese
"KEVA KA NDAMBU KO, VONGA K'AWOLE KO,",Portuguese
Ser pequeno não é ser meio-homem. E ser grande não vale por dois.,Portuguese
KIBAKIDI MU NWA KO.,Portuguese
Não te agarro pela boca.,Portuguese
no,Portuguese
respect.,Portuguese
KIDYA MENE MA SIKA LUNDA KYO.,Portuguese
"Yovo: KIDYA NSYUKA, MAKANI NKOKELA.",Portuguese
KIDIA NTUNGI KO NZENZA KWE IKUMWENA.,Portuguese
"desenfreada não resiste. No entanto, opõe-se-lhes este outro provérbio árabe: «se o seu",Portuguese
étranger?,Portuguese
"him all through, because too much honey becomes poison».",Portuguese
"KIFWILANGA MUNTU, NTU KISIWANGA.",Portuguese
Apóstolo Paulo justifica pelos seguintes termos:,Portuguese
11,Portuguese
seu fruto? Ou quem apascenta o gado e não come do leite do gado? (1 Co. 9:7).,Portuguese
flock? (1 Co. 9:7).,Portuguese
"KIKUNDI KIMANISANGA, KIMPANGI KA KIMANISANGA KO.",Portuguese
KILUKILA MBUTA.,Portuguese
«Precaução demasia não prejudica».,Portuguese
KIMBANGI KYA WANTU WOLE KYA LUDI.,Portuguese
"«Testemunha única, testemunha nula» (Caton).",Portuguese
"«Témoin unique, témoin nul» (Caton).",Portuguese
n2,Portuguese
"«Witness unique, witness non-existent» (Caton).",Portuguese
"KIMBEMBE UKIBABANGA, MAKUNZI MANDI KWA NZAMBI-MPUNGU.",Portuguese
Puissant. :,Portuguese
all-mighty. .,Portuguese
actions. -,Portuguese
"KIMBEVO KIWUKWANGA, FU KYA MUNTU KA KIWUKWANGA KO.",Portuguese
Cura-se uma doença mas não um hábito.,Portuguese
KIMBEVO KOTA MU NITU NGOLO-NGOLO KANSI VAIKA MALEMBE,Portuguese
MALEMBE.,Portuguese
«OQ mal entra às braçadas e vai às polegadas».,Portuguese
vérbio Indiano — Rosa Sha).,Portuguese
n3,Portuguese
KIMFYETETE (KINONYA) KA KALA YE NTA KO NANGA,Portuguese
VO NGEYE UKUNTETA NGANGU ZIKONDELE YOVO,Portuguese
MBANGU UKONDELE.,Portuguese
Um problema bem apresentado por um primeiro orador pode ser encerrado sem,Portuguese
comentários pelos outros oradores se estes não souberem analisar certos outros,Portuguese
assunto.,Portuguese
sait pas s'y prendre.,Portuguese
"problem, which could turn out profitable.",Portuguese
KIMFYETETE (KINONYA) KAZIKI MVUMBI KO NANGA VO KA,Portuguese
NKAZ'ANDIKO.,Portuguese
lhe darem um forte amparo ou um devido enterro.,Portuguese
d'animal.,Portuguese
"KIMFUMU KYAKU VO KYA NZALA ZA NGO, E KYA NKWENO MPE KYA",Portuguese
"NZALA ZA NGO, VO IKYAKU KYA NZALA ZA MBAMBI, KYA NKWENO",Portuguese
MPE KYA NZALA ZA MBAMBI.,Portuguese
Este provérbio é uma referência ao respeito dos direitos dos outros como dos nossos,Portuguese
próprios.,Portuguese
114,Portuguese
propres.,Portuguese
own.,Portuguese
trona alternativa e periodicamente.,Portuguese
Este provérbio é uma demonstração da versatilidade ou inconstância do poder,Portuguese
poder é instável e depende muito do tempo e da sorte do seu detentor.,Portuguese
"KIMFUMU TUMBWA, KA KITUMBA KO.",Portuguese
"Um chefe deve ser investido por uma instituição, mas não se deve impor por si",Portuguese
próprio.,Portuguese
si próprio.,Portuguese
impose himself.,Portuguese
115,Portuguese
"KIMFWA-MEWA, KIMPINGA-MPINGA, AVO KA MU MWANA KO MU",Portuguese
NTEKOLO.,Portuguese
"pais aos filhos, pelo menos dos avós aos netos.",Portuguese
filhos das gerações presentes e vindouras através da hereditariedade ou do atavis-,Portuguese
mo.,Portuguese
atavisme.,Portuguese
atavism.,Portuguese
"KIMVWAMA VO SADIDI KYO MANISA KIMANISANGA, NGANGU VO",Portuguese
SADIDI ZO WOKELA ZIWOKELANGA.,Portuguese
zação.,Portuguese
canga no pescoço» (Prov.Persa - Rosa Sha).,Portuguese
son utilisation.,Portuguese
cou» (Prov. Persan — Rosa Sha).,Portuguese
neck» (Persan Prov. — Rosa Sha).,Portuguese
"KINA KIMWESANGA MPASI KWA MBEVO, KWA MVUMBI KYAMBOTE.",Portuguese
morto.,Portuguese
116,Portuguese
mort.,Portuguese
mort.,Portuguese
KINA YE NZITU NGANGU (yovo NDEKO) MU MALU.,Portuguese
Dançar com uma sogra é preciso prestar atenção aos movimentos dos pés.,Portuguese
Dançar com uma sogra significa tratar com uma pessoa importante ou susceptível.,Portuguese
"Para tratar ou viver com tais individualidades, é preciso ser cauteloso e prudente",Portuguese
"nas palavras e nas acções, evitando na medida do possível toda familiaridade; pois,",Portuguese
(Publilius Syrus). -,Portuguese
ceptible.,Portuguese
feet's movements.,Portuguese
KININI KANSI KUBWENGETE Yovo: KUVWENGETE KO.,Portuguese
Dançaste mas não vibraste.,Portuguese
17,Portuguese
"KINSANGA YE NZIL ANDI, BOMBO YE NZIL ANDI.",Portuguese
podem ser tratados ao mesmo tempo.,Portuguese
traités ensemble.,Portuguese
"KINSENGO, KUKITUNDIKI KO, ZAYA VO SEKE WAKELE NTETE.",Portuguese
«Vilão enriquecido não conhece parente nem amigo».,Portuguese
«Honras mudam os costumes» (provérbio latino citado por M.Maurois — Larousse).,Portuguese
«Ne méprisez pas votre origine modeste».,Portuguese
«Vilain enrichi ne connait parent ni ami».,Portuguese
«Honneurs changent moeurs».,Portuguese
KINTETE KINTETE KYA NANT?: «KYA TATA».,Portuguese
«Ao Pai !»,Portuguese
18,Portuguese
KINZU KYA FOMO NWA YE NWA.,Portuguese
os outros.,Portuguese
«Um prazer é maior quando é partilhado com outras pessoas».,Portuguese
personnes.,Portuguese
"KINZU KYA MATE YE MATE, NWA YE NWA KIYEDILANGA.",Portuguese
KINZU KUNA KIE WUMBILWA LWENGO (LWENZO).,Portuguese
Onde o vaso foi criado é considerado como uma jóia.,Portuguese
Uma pessoa é sempre estimada como uma jóia pelos seus progenitores.,Portuguese
KYOKYO UDYANGA IKIKUDYA yovo: MUNA DYA MUTUKA,Portuguese
KIMANKIKUDYA.,Portuguese
"KISASUMUNWANGA MU KULU, VO MU KOKO KULENDI KO.",Portuguese
acontecer no braço.,Portuguese
19,Portuguese
arms.,Portuguese
"KITANTU KA KINA YE NLONGO KO, NANGA LOLOKA YE LOLOZIANA.",Portuguese
O ódio não tem remédio excepto o perdão.,Portuguese
«O fraco jamais perdoa: o perdão é característica do forte» (Gandhi).,Portuguese
"Hate has no medicine, except forgiveness.",Portuguese
(Gandhi).,Portuguese
Mente puede curarte».,Portuguese
KITINA MALU MESO KAMONA KYO.,Portuguese
«Ver e crer como São Tomé».,Portuguese
120,Portuguese
KITOMENE MU MUNTU KITUKIDI.,Portuguese
Cada boa e bonita pessoa tem seu progenitor.,Portuguese
"Dai, quem ama esta pessoa deve reconhecer e respeitar os seus pais.",Portuguese
KITONDA NKETO KU BUNDI.,Portuguese
«águas passadas não movem moinhos»,Portuguese
"«Uma vez comido, o pão é depressa esquecido» (Prov. Escandinavo - Rosa Sha».",Portuguese
pas».,Portuguese
"KIVITIDI KIMONANGA NTETE NZILA, IKISUKININI IBOSI KILANDA.",Portuguese
derniêre suivra.,Portuguese
will follow.,Portuguese
121,Portuguese
"KIZININI KA KILAMBULULWANGA KO, KIFINGIDI LAMBULULA KWANI.",Portuguese
feito pode ser remediado.,Portuguese
Yêtre.,Portuguese
remédiable.,Portuguese
remediable.,Portuguese
KOLA KWA LULEMBE LWA NYAZA MU KATI NTUTU.,Portuguese
Saúde da rama da cebola vazia por dentro.,Portuguese
unhealthy.,Portuguese
"KOK'ANKOKELE, E NGEYE KOKELA KOMWENE KYOKO E?",Portuguese
